 Year Tse_N Tse_0 Tse_P Ts_N Ts_0 Ts_P
  1.16667E+01  2.07937E-02  3.23457E-02  7.27778E-02 -3.45704E-04 -2.60385E-03 -6.09157E-03
  1.17500E+01  2.03572E-02  3.16667E-02  7.12500E-02 -2.22682E-04 -2.44919E-03 -5.90669E-03
  1.18333E+01  1.99206E-02  3.09877E-02  6.97222E-02 -1.06726E-04 -2.30200E-03 -5.72948E-03
  1.19167E+01  1.94841E-02  3.03087E-02  6.81945E-02  2.37690E-06 -2.16206E-03 -5.55973E-03
  1.20000E+01  1.90476E-02  2.96296E-02  6.66667E-02  1.04830E-04 -2.02919E-03 -5.39728E-03
  1.20833E+01  1.87698E-02  2.91975E-02  6.56945E-02  2.02284E-04 -1.90174E-03 -5.24049E-03
  1.21667E+01  1.84921E-02  2.87654E-02  6.47222E-02  2.96252E-04 -1.77821E-03 -5.08787E-03
  1.22500E+01  1.82143E-02  2.83333E-02  6.37500E-02  3.86667E-04 -1.65864E-03 -4.93945E-03
  1.23333E+01  1.79365E-02  2.79012E-02  6.27778E-02  4.73488E-04 -1.54306E-03 -4.79528E-03
  1.24167E+01  1.76587E-02  2.74691E-02  6.18056E-02  5.56710E-04 -1.43149E-03 -4.65534E-03
  1.25000E+01  1.73810E-02  2.70370E-02  6.08333E-02  6.36346E-04 -1.32389E-03 -4.51963E-03
  1.25833E+01  1.71032E-02  2.66049E-02  5.98611E-02  7.12425E-04 -1.22024E-03 -4.38812E-03
  1.26667E+01  1.68254E-02  2.61728E-02  5.88889E-02  7.84985E-04 -1.12050E-03 -4.26075E-03
  1.27500E+01  1.65476E-02  2.57407E-02  5.79167E-02  8.54071E-04 -1.02462E-03 -4.13750E-03
  1.28333E+01  1.62698E-02  2.53086E-02  5.69444E-02  9.19733E-04 -9.32545E-04 -4.01831E-03
  1.29167E+01  1.59921E-02  2.48765E-02  5.59722E-02  9.82024E-04 -8.44222E-04 -3.90312E-03
  1.30000E+01  1.57143E-02  2.44444E-02  5.50000E-02  1.04100E-03 -7.59595E-04 -3.79189E-03
  1.30833E+01  1.58333E-02  2.46296E-02  5.54167E-02  1.10035E-03 -6.74969E-04 -3.68093E-03
