 lamda  B B_N
  2.14000E+00  1.28472E+12  4.02928E-02
  2.15000E+00  1.26488E+12  3.96704E-02
  2.16000E+00  1.24541E+12  3.90598E-02
  2.17000E+00  1.22631E+12  3.84607E-02
  2.18000E+00  1.20757E+12  3.78729E-02
  2.19000E+00  1.18918E+12  3.72962E-02
  2.20000E+00  1.17113E+12  3.67302E-02
  2.21000E+00  1.15342E+12  3.61748E-02
  2.22000E+00  1.13604E+12  3.56297E-02
  2.23000E+00  1.11898E+12  3.50947E-02
  2.24000E+00  1.10224E+12  3.45696E-02
  2.25000E+00  1.08581E+12  3.40541E-02
  2.26000E+00  1.06967E+12  3.35481E-02
  2.27000E+00  1.05383E+12  3.30513E-02
  2.28000E+00  1.03828E+12  3.25635E-02
  2.29000E+00  1.02301E+12  3.20847E-02
  2.30000E+00  1.00802E+12  3.16144E-02
  2.31000E+00  9.93295E+11  3.11527E-02
  2.32000E+00  9.78837E+11  3.06992E-02
  2.33000E+00  9.64638E+11  3.02539E-02
  2.34000E+00  9.50692E+11  2.98165E-02
  2.35000E+00  9.36995E+11  2.93869E-02
  2.36000E+00  9.23540E+11  2.89650E-02
  2.37000E+00  9.10324E+11  2.85505E-02
  2.38000E+00  8.97340E+11  2.81433E-02
  2.39000E+00  8.84584E+11  2.77432E-02
  2.40000E+00  8.72052E+11  2.73502E-02
  2.41000E+00  8.59739E+11  2.69640E-02
  2.42000E+00  8.47639E+11  2.65845E-02
  2.43000E+00  8.35750E+11  2.62116E-02
  2.44000E+00  8.24065E+11  2.58451E-02
  2.45000E+00  8.12583E+11  2.54850E-02
  2.46000E+00  8.01297E+11  2.51311E-02
  2.47000E+00  7.90205E+11  2.47832E-02
  2.48000E+00  7.79302E+11  2.44412E-02
  2.49000E+00  7.68585E+11  2.41051E-02
  2.50000E+00  7.58049E+11  2.37747E-02
  2.51000E+00  7.47691E+11  2.34498E-02
  2.52000E+00  7.37508E+11  2.31305E-02
  2.53000E+00  7.27496E+11  2.28165E-02
  2.54000E+00  7.17652E+11  2.25077E-02
  2.55000E+00  7.07972E+11  2.22041E-02
  2.56000E+00  6.98453E+11  2.19056E-02
  2.57000E+00  6.89093E+11  2.16120E-02
  2.58000E+00  6.79887E+11  2.13233E-02
  2.59000E+00  6.70833E+11  2.10393E-02
  2.60000E+00  6.61927E+11  2.07600E-02
  2.61000E+00  6.53168E+11  2.04853E-02
  2.62000E+00  6.44552E+11  2.02151E-02
  2.63000E+00  6.36076E+11  1.99492E-02
  2.64000E+00  6.27737E+11  1.96877E-02
  2.65000E+00  6.19534E+11  1.94304E-02
  2.66000E+00  6.11463E+11  1.91773E-02
  2.67000E+00  6.03522E+11  1.89283E-02
  2.68000E+00  5.95709E+11  1.86832E-02
  2.69000E+00  5.88020E+11  1.84421E-02
  2.70000E+00  5.80454E+11  1.82048E-02
  2.71000E+00  5.73008E+11  1.79712E-02
  2.72000E+00  5.65681E+11  1.77414E-02
  2.73000E+00  5.58469E+11  1.75152E-02
  2.74000E+00  5.51371E+11  1.72926E-02
  2.75000E+00  5.44384E+11  1.70735E-02
  2.76000E+00  5.37507E+11  1.68578E-02
  2.77000E+00  5.30737E+11  1.66455E-02
  2.78000E+00  5.24072E+11  1.64365E-02
  2.79000E+00  5.17512E+11  1.62307E-02
  2.80000E+00  5.11052E+11  1.60281E-02
  2.81000E+00  5.04693E+11  1.58287E-02
  2.82000E+00  4.98431E+11  1.56323E-02
  2.83000E+00  4.92265E+11  1.54389E-02
  2.84000E+00  4.86194E+11  1.52485E-02
  2.85000E+00  4.80215E+11  1.50610E-02
  2.86000E+00  4.74327E+11  1.48763E-02
  2.87000E+00  4.68529E+11  1.46945E-02
  2.88000E+00  4.62818E+11  1.45154E-02
  2.89000E+00  4.57193E+11  1.43389E-02
  2.90000E+00  4.51653E+11  1.41652E-02
  2.91000E+00  4.46197E+11  1.39941E-02
  2.92000E+00  4.40821E+11  1.38255E-02
  2.93000E+00  4.35526E+11  1.36594E-02
  2.94000E+00  4.30309E+11  1.34958E-02
  2.95000E+00  4.25170E+11  1.33346E-02
  2.96000E+00  4.20107E+11  1.31758E-02
  2.97000E+00  4.15118E+11  1.30194E-02
  2.98000E+00  4.10203E+11  1.28652E-02
  2.99000E+00  4.05360E+11  1.27133E-02
  3.00000E+00  4.00588E+11  1.25636E-02
  3.01000E+00  3.95885E+11  1.24161E-02
  3.02000E+00  3.91251E+11  1.22708E-02
  3.03000E+00  3.86684E+11  1.21275E-02
  3.04000E+00  3.82182E+11  1.19864E-02
  3.05000E+00  3.77746E+11  1.18472E-02
  3.06000E+00  3.73374E+11  1.17101E-02
  3.07000E+00  3.69064E+11  1.15749E-02
  3.08000E+00  3.64816E+11  1.14417E-02
  3.09000E+00  3.60628E+11  1.13104E-02
  3.10000E+00  3.56500E+11  1.11809E-02
  3.11000E+00  3.52431E+11  1.10533E-02
  3.12000E+00  3.48419E+11  1.09275E-02
  3.13000E+00  3.44464E+11  1.08034E-02
  3.14000E+00  3.40564E+11  1.06811E-02
  3.15000E+00  3.36719E+11  1.05605E-02
  3.16000E+00  3.32928E+11  1.04416E-02
  3.17000E+00  3.29190E+11  1.03244E-02
  3.18000E+00  3.25503E+11  1.02088E-02
  3.19000E+00  3.21868E+11  1.00947E-02
  3.20000E+00  3.18283E+11  9.98232E-03
  3.21000E+00  3.14748E+11  9.87144E-03
  3.22000E+00  3.11262E+11  9.76209E-03
  3.23000E+00  3.07823E+11  9.65424E-03
